slug,name,title,email,phone,bioUrl,contactUrl,headshotUrl,xUrl,instagramUrl,linkedinUrl,isHeadCoach,reviewStatus
east-carolina-university,Ad Baseball Cliff Godwin,Head Coach,,,https://ecupirates.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
east-carolina-university,Godwin Jeff Palumbo Associate,Head Coach,,,https://ecupirates.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
east-carolina-university,Cliff Godwin Jeff Palumbo,Associate Head Coach,,,https://ecupirates.com/sports/baseball/staff,,,,,,false,NEEDS_REVIEW
florida-atlantic-university,Hunter Cooley,Pitching Coach,,,https://fausports.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
florida-atlantic-university,Pitching Coach Joey Bellini,Hitting Coach,,,https://fausports.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
rice-university,Clay Van Hook Associate,Head Coach,,,https://riceowls.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
rice-university,Clay Van Hook,Associate Head Coach,,,https://riceowls.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
temple-university,Fisher Michael Huger Associate,Head Coach,,,https://owlsports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
temple-university,TempleWBB Diane Richardson,Head Coach,,,https://owlsports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
temple-university,Richardson Wanisha Smith Associate,Head Coach,,,https://owlsports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
temple-university,Mcrew Brendan Cunningham,Head Coach,,,https://owlsports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
temple-university,TempleFencing Jennie Salmon,Head Coach,,,https://owlsports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
tulane-university,Jay Uhlman Associate,Head Coach,,,https://tulanegreenwave.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
tulane-university,Head Coach Jay Uhlman,Associate Head Coach,,,https://tulanegreenwave.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-alabama-at-birmingham,UAB Associate,Head Coach,,,https://uabsports.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
university-of-memphis,Cory Barton Associate,Head Coach,,,https://gotigersgo.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
university-of-memphis,Cory Barton,Associate Head Coach,,,https://gotigersgo.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-memphis,Kyle Cameron,Pitching Coach,,,https://gotigersgo.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-north-carolina-at-charlotte,CLT Toby Bicknell Associate,Head Coach,,,https://charlotte49ers.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
university-of-north-carolina-at-charlotte,CLT Toby Bicknell,Associate Head Coach,,,https://charlotte49ers.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-north-carolina-at-charlotte,Bicknell Associate Head Coach,Recruiting Coordinator,,,https://charlotte49ers.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-north-carolina-at-charlotte,Robert Woodard Head Coach,Pitching Coach,,,https://charlotte49ers.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-north-carolina-at-charlotte,Will Kaufman Assistant Coach,Hitting Coach,,,https://charlotte49ers.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-south-florida,Administration Baseball Mitch Hannahs,Head Coach,,,https://gousfbulls.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-south-florida,Coach Jeremy Growe Associate,Head Coach,,,https://gousfbulls.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-south-florida,Brittney Orashen Associate,Head Coach,,,https://gousfbulls.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-south-florida,Sailing Allison Jolly,Head Coach,,,https://gousfbulls.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-south-florida,Marshall Associate,Head Coach,,,https://gousfbulls.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-texas-at-san-antonio,Coaching Pat Hallmark,Head Coach,,,https://goutsa.com/sports/baseball/roster#coaches,,,,,,true,NEEDS_REVIEW
wichita-state-university,Brian Green,Head Coach,,,https://goshockers.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
